YEAR,INDEX,TEMP,MODEL,SERIES,USED
2022,1,1.467329979,HADGEM2-AO_2.6,2.6,Y
2023,1,2.021543503,HADGEM2-AO_2.6,2.6,Y
2024,1,1.918634415,HADGEM2-AO_2.6,2.6,Y
2025,1,1.606221199,HADGEM2-AO_2.6,2.6,Y
2026,1,1.427066803,HADGEM2-AO_2.6,2.6,Y
2027,1,1.090112686,HADGEM2-AO_2.6,2.6,Y
2028,1,1.279813766,HADGEM2-AO_2.6,2.6,Y
2029,1,1.938212395,HADGEM2-AO_2.6,2.6,Y
2030,1,1.383419037,HADGEM2-AO_2.6,2.6,Y
2031,1,-0.585600853,HADGEM2-AO_2.6,2.6,Y
2032,1,0.450561523,HADGEM2-AO_2.6,2.6,Y
2033,1,0.692342758,HADGEM2-AO_2.6,2.6,Y
2034,1,0.016815186,HADGEM2-AO_2.6,2.6,Y
2035,1,0.487137794,HADGEM2-AO_2.6,2.6,Y
2036,1,0.537695885,HADGEM2-AO_2.6,2.6,Y
2037,1,1.979586601,HADGEM2-AO_2.6,2.6,Y
2038,1,0.667527199,HADGEM2-AO_2.6,2.6,Y
2039,1,1.616761208,HADGEM2-AO_2.6,2.6,Y
2040,1,2.047660828,HADGEM2-AO_2.6,2.6,Y
2041,1,1.820619583,HADGEM2-AO_2.6,2.6,Y
2042,1,1.232115746,HADGEM2-AO_2.6,2.6,Y
2043,1,1.070385933,HADGEM2-AO_2.6,2.6,Y
2044,1,1.292457581,HADGEM2-AO_2.6,2.6,Y
2045,1,0.528302193,HADGEM2-AO_2.6,2.6,Y
2046,1,2.692625046,HADGEM2-AO_2.6,2.6,Y
2047,1,1.190534592,HADGEM2-AO_2.6,2.6,Y
2048,1,1.21706295,HADGEM2-AO_2.6,2.6,Y
2049,1,1.434461594,HADGEM2-AO_2.6,2.6,Y
2050,1,2.171035767,HADGEM2-AO_2.6,2.6,Y
2051,1,1.733204842,HADGEM2-AO_2.6,2.6,Y
2052,1,0.629946709,HADGEM2-AO_2.6,2.6,Y
2053,1,1.356519699,HADGEM2-AO_2.6,2.6,Y
2054,1,1.812933922,HADGEM2-AO_2.6,2.6,Y
2055,1,1.936987877,HADGEM2-AO_2.6,2.6,Y
2056,1,1.336987495,HADGEM2-AO_2.6,2.6,Y
2057,1,2.874998093,HADGEM2-AO_2.6,2.6,Y
2058,1,2.909785271,HADGEM2-AO_2.6,2.6,Y
2059,1,1.740339279,HADGEM2-AO_2.6,2.6,Y
2060,1,1.644156456,HADGEM2-AO_2.6,2.6,Y
2061,1,1.443873405,HADGEM2-AO_2.6,2.6,Y
2062,1,0.385663033,HADGEM2-AO_2.6,2.6,Y
2063,1,0.985344887,HADGEM2-AO_2.6,2.6,Y
2064,1,1.283887863,HADGEM2-AO_2.6,2.6,Y
2065,1,1.026220322,HADGEM2-AO_2.6,2.6,Y
2066,1,1.5772295,HADGEM2-AO_2.6,2.6,Y
2067,1,1.127090454,HADGEM2-AO_2.6,2.6,Y
2068,1,1.903337479,HADGEM2-AO_2.6,2.6,Y
2069,1,-0.125530243,HADGEM2-AO_2.6,2.6,Y
2070,1,1.615672112,HADGEM2-AO_2.6,2.6,Y
2071,1,2.18655777,HADGEM2-AO_2.6,2.6,Y
2072,1,1.538858414,HADGEM2-AO_2.6,2.6,Y
2073,1,2.151293755,HADGEM2-AO_2.6,2.6,Y
2074,1,1.147499084,HADGEM2-AO_2.6,2.6,Y
2075,1,1.037602425,HADGEM2-AO_2.6,2.6,Y
2076,1,1.092285156,HADGEM2-AO_2.6,2.6,Y
2077,1,0.73960495,HADGEM2-AO_2.6,2.6,Y
2078,1,1.199667931,HADGEM2-AO_2.6,2.6,Y
2079,1,0.503722191,HADGEM2-AO_2.6,2.6,Y
2080,1,0.948165894,HADGEM2-AO_2.6,2.6,Y
2081,1,1.917830467,HADGEM2-AO_2.6,2.6,Y
2082,1,1.127169609,HADGEM2-AO_2.6,2.6,Y
2083,1,1.586105347,HADGEM2-AO_2.6,2.6,Y
2084,1,0.987646103,HADGEM2-AO_2.6,2.6,Y
2085,1,1.347801208,HADGEM2-AO_2.6,2.6,Y
2086,1,1.472467422,HADGEM2-AO_2.6,2.6,Y
2087,1,1.282187462,HADGEM2-AO_2.6,2.6,Y
2088,1,0.928901672,HADGEM2-AO_2.6,2.6,Y
2089,1,1.826910019,HADGEM2-AO_2.6,2.6,Y
2090,1,2.396854401,HADGEM2-AO_2.6,2.6,Y
2091,1,2.715270996,HADGEM2-AO_2.6,2.6,Y
2092,1,1.185838699,HADGEM2-AO_2.6,2.6,Y
2093,1,1.826981544,HADGEM2-AO_2.6,2.6,Y
2094,1,3.41597271,HADGEM2-AO_2.6,2.6,Y
2095,1,1.938630104,HADGEM2-AO_2.6,2.6,Y
2096,1,1.671757698,HADGEM2-AO_2.6,2.6,Y
2097,1,1.60743618,HADGEM2-AO_2.6,2.6,Y
2098,1,2.272336006,HADGEM2-AO_2.6,2.6,Y
2099,1,1.800549507,HADGEM2-AO_2.6,2.6,Y
2022,1,0.523109436,MIROC5_2.6,2.6,Y
2023,1,0.694888115,MIROC5_2.6,2.6,Y
2024,1,-0.362890244,MIROC5_2.6,2.6,Y
2025,1,-1.019429207,MIROC5_2.6,2.6,Y
2026,1,0.700613976,MIROC5_2.6,2.6,Y
2027,1,1.067684174,MIROC5_2.6,2.6,Y
2028,1,2.067918777,MIROC5_2.6,2.6,Y
2029,1,1.446519852,MIROC5_2.6,2.6,Y
2030,1,-0.750627518,MIROC5_2.6,2.6,Y
2031,1,-1.329679489,MIROC5_2.6,2.6,Y
2032,1,-0.16744709,MIROC5_2.6,2.6,Y
2033,1,0.260371208,MIROC5_2.6,2.6,Y
2034,1,0.329849243,MIROC5_2.6,2.6,Y
2035,1,0.855363846,MIROC5_2.6,2.6,Y
2036,1,1.010613441,MIROC5_2.6,2.6,Y
2037,1,0.832838058,MIROC5_2.6,2.6,Y
2038,1,0.980314255,MIROC5_2.6,2.6,Y
2039,1,0.166139603,MIROC5_2.6,2.6,Y
2040,1,0.617706299,MIROC5_2.6,2.6,Y
2041,1,2.271046638,MIROC5_2.6,2.6,Y
2042,1,0.951488495,MIROC5_2.6,2.6,Y
2043,1,-0.086129189,MIROC5_2.6,2.6,Y
2044,1,-0.146306992,MIROC5_2.6,2.6,Y
2045,1,1.401037216,MIROC5_2.6,2.6,Y
2046,1,1.180422783,MIROC5_2.6,2.6,Y
2047,1,1.943623543,MIROC5_2.6,2.6,Y
2048,1,1.578954697,MIROC5_2.6,2.6,Y
2049,1,-0.375448227,MIROC5_2.6,2.6,Y
2050,1,0.184837341,MIROC5_2.6,2.6,Y
2051,1,-0.098474503,MIROC5_2.6,2.6,Y
2052,1,2.275963783,MIROC5_2.6,2.6,Y
2053,1,2.632050514,MIROC5_2.6,2.6,Y
2054,1,2.077170372,MIROC5_2.6,2.6,Y
2055,1,1.511644363,MIROC5_2.6,2.6,Y
2056,1,1.580287933,MIROC5_2.6,2.6,Y
2057,1,1.128619194,MIROC5_2.6,2.6,Y
2058,1,0.615931511,MIROC5_2.6,2.6,Y
2059,1,1.241036415,MIROC5_2.6,2.6,Y
2060,1,0.880722046,MIROC5_2.6,2.6,Y
2061,1,0.406716347,MIROC5_2.6,2.6,Y
2062,1,0.335541725,MIROC5_2.6,2.6,Y
2063,1,0.278059959,MIROC5_2.6,2.6,Y
2064,1,-0.402781487,MIROC5_2.6,2.6,Y
2065,1,0.630315781,MIROC5_2.6,2.6,Y
2066,1,1.333843231,MIROC5_2.6,2.6,Y
2067,1,1.042725563,MIROC5_2.6,2.6,Y
2068,1,-0.00227356,MIROC5_2.6,2.6,Y
2069,1,0.132130623,MIROC5_2.6,2.6,Y
2070,1,0.824018478,MIROC5_2.6,2.6,Y
2071,1,0.92419529,MIROC5_2.6,2.6,Y
2072,1,1.069752693,MIROC5_2.6,2.6,Y
2073,1,0.950169563,MIROC5_2.6,2.6,Y
2074,1,2.029918671,MIROC5_2.6,2.6,Y
2075,1,1.20111084,MIROC5_2.6,2.6,Y
2076,1,2.397191048,MIROC5_2.6,2.6,Y
2077,1,0.809604645,MIROC5_2.6,2.6,Y
2078,1,0.399927139,MIROC5_2.6,2.6,Y
2079,1,0.965869904,MIROC5_2.6,2.6,Y
2080,1,0.901170731,MIROC5_2.6,2.6,Y
2081,1,0.907588005,MIROC5_2.6,2.6,Y
2082,1,1.278401375,MIROC5_2.6,2.6,Y
2083,1,1.800461769,MIROC5_2.6,2.6,Y
2084,1,1.645814896,MIROC5_2.6,2.6,Y
2085,1,0.965488434,MIROC5_2.6,2.6,Y
2086,1,1.406543732,MIROC5_2.6,2.6,Y
2087,1,0.986077309,MIROC5_2.6,2.6,Y
2088,1,1.475142479,MIROC5_2.6,2.6,Y
2089,1,1.837475777,MIROC5_2.6,2.6,Y
2090,1,0.851818085,MIROC5_2.6,2.6,Y
2091,1,0.008385658,MIROC5_2.6,2.6,Y
2092,1,1.846436501,MIROC5_2.6,2.6,Y
2093,1,1.332098007,MIROC5_2.6,2.6,Y
2094,1,0.929558754,MIROC5_2.6,2.6,Y
2095,1,1.416217804,MIROC5_2.6,2.6,Y
2096,1,0.824025154,MIROC5_2.6,2.6,Y
2097,1,0.89187336,MIROC5_2.6,2.6,Y
2098,1,1.574755669,MIROC5_2.6,2.6,Y
2099,1,1.262797356,MIROC5_2.6,2.6,Y
2022,1,-0.12553978,MIROC-ESM_2.6,2.6,Y
2023,1,1.453555107,MIROC-ESM_2.6,2.6,Y
2024,1,1.761573792,MIROC-ESM_2.6,2.6,Y
2025,1,0.991482735,MIROC-ESM_2.6,2.6,Y
2026,1,2.3673563,MIROC-ESM_2.6,2.6,Y
2027,1,0.367210388,MIROC-ESM_2.6,2.6,Y
2028,1,1.49612236,MIROC-ESM_2.6,2.6,Y
2029,1,1.770516396,MIROC-ESM_2.6,2.6,Y
2030,1,1.581983566,MIROC-ESM_2.6,2.6,Y
2031,1,1.820588112,MIROC-ESM_2.6,2.6,Y
2032,1,0.74714756,MIROC-ESM_2.6,2.6,Y
2033,1,2.80739975,MIROC-ESM_2.6,2.6,Y
2034,1,1.700561523,MIROC-ESM_2.6,2.6,Y
2035,1,2.655608177,MIROC-ESM_2.6,2.6,Y
2036,1,1.694465637,MIROC-ESM_2.6,2.6,Y
2037,1,1.072172165,MIROC-ESM_2.6,2.6,Y
2038,1,1.329076767,MIROC-ESM_2.6,2.6,Y
2039,1,0.843207359,MIROC-ESM_2.6,2.6,Y
2040,1,2.460220337,MIROC-ESM_2.6,2.6,Y
2041,1,1.065678596,MIROC-ESM_2.6,2.6,Y
2042,1,1.442975998,MIROC-ESM_2.6,2.6,Y
2043,1,3.77306366,MIROC-ESM_2.6,2.6,Y
2044,1,2.418016434,MIROC-ESM_2.6,2.6,Y
2045,1,1.943907738,MIROC-ESM_2.6,2.6,Y
2046,1,2.19260788,MIROC-ESM_2.6,2.6,Y
2047,1,2.356811523,MIROC-ESM_2.6,2.6,Y
2048,1,1.413795471,MIROC-ESM_2.6,2.6,Y
2049,1,2.325137138,MIROC-ESM_2.6,2.6,Y
2050,1,2.034790993,MIROC-ESM_2.6,2.6,Y
2051,1,2.022598267,MIROC-ESM_2.6,2.6,Y
2052,1,1.837471008,MIROC-ESM_2.6,2.6,Y
2053,1,0.853685379,MIROC-ESM_2.6,2.6,Y
2054,1,1.242586136,MIROC-ESM_2.6,2.6,Y
2055,1,3.188056946,MIROC-ESM_2.6,2.6,Y
2056,1,0.787045479,MIROC-ESM_2.6,2.6,Y
2057,1,2.783226013,MIROC-ESM_2.6,2.6,Y
2058,1,1.705510139,MIROC-ESM_2.6,2.6,Y
2059,1,2.726626396,MIROC-ESM_2.6,2.6,Y
2060,1,1.40969944,MIROC-ESM_2.6,2.6,Y
2061,1,1.176346779,MIROC-ESM_2.6,2.6,Y
2062,1,2.469346046,MIROC-ESM_2.6,2.6,Y
2063,1,1.542690277,MIROC-ESM_2.6,2.6,Y
2064,1,2.228831291,MIROC-ESM_2.6,2.6,Y
2065,1,1.110656738,MIROC-ESM_2.6,2.6,Y
2066,1,1.542227745,MIROC-ESM_2.6,2.6,Y
2067,1,1.890052795,MIROC-ESM_2.6,2.6,Y
2068,1,2.293151855,MIROC-ESM_2.6,2.6,Y
2069,1,3.139340401,MIROC-ESM_2.6,2.6,Y
2070,1,1.032059669,MIROC-ESM_2.6,2.6,Y
2071,1,3.374450684,MIROC-ESM_2.6,2.6,Y
2072,1,1.56887722,MIROC-ESM_2.6,2.6,Y
2073,1,0.724066734,MIROC-ESM_2.6,2.6,Y
2074,1,2.080463409,MIROC-ESM_2.6,2.6,Y
2075,1,3.275622368,MIROC-ESM_2.6,2.6,Y
2076,1,2.846915245,MIROC-ESM_2.6,2.6,Y
2077,1,2.861420631,MIROC-ESM_2.6,2.6,Y
2078,1,2.161895752,MIROC-ESM_2.6,2.6,Y
2079,1,1.87693882,MIROC-ESM_2.6,2.6,Y
2080,1,2.208754539,MIROC-ESM_2.6,2.6,Y
2081,1,2.125372887,MIROC-ESM_2.6,2.6,Y
2082,1,2.0238657,MIROC-ESM_2.6,2.6,Y
2083,1,1.464691162,MIROC-ESM_2.6,2.6,Y
2084,1,2.227657318,MIROC-ESM_2.6,2.6,Y
2085,1,2.848118782,MIROC-ESM_2.6,2.6,Y
2086,1,0.972080231,MIROC-ESM_2.6,2.6,Y
2087,1,2.001973152,MIROC-ESM_2.6,2.6,Y
2088,1,2.998274803,MIROC-ESM_2.6,2.6,Y
2089,1,3.630475998,MIROC-ESM_2.6,2.6,Y
2090,1,2.187286377,MIROC-ESM_2.6,2.6,Y
2091,1,2.948598862,MIROC-ESM_2.6,2.6,Y
2092,1,2.726863861,MIROC-ESM_2.6,2.6,Y
2093,1,2.178418159,MIROC-ESM_2.6,2.6,Y
2094,1,2.243789673,MIROC-ESM_2.6,2.6,Y
2095,1,2.337200165,MIROC-ESM_2.6,2.6,Y
2096,1,2.120280266,MIROC-ESM_2.6,2.6,Y
2097,1,1.960835457,MIROC-ESM_2.6,2.6,Y
2098,1,2.875213623,MIROC-ESM_2.6,2.6,Y
2099,1,2.993442535,MIROC-ESM_2.6,2.6,Y
2022,1,0.968559265,MPI-ESM-LR_2.6,2.6,Y
2023,1,0.161225319,MPI-ESM-LR_2.6,2.6,Y
2024,1,0.25435257,MPI-ESM-LR_2.6,2.6,Y
2025,1,0.521951675,MPI-ESM-LR_2.6,2.6,Y
2026,1,1.031925201,MPI-ESM-LR_2.6,2.6,Y
2027,1,1.001554489,MPI-ESM-LR_2.6,2.6,Y
2028,1,1.812458992,MPI-ESM-LR_2.6,2.6,Y
2029,1,0.571559906,MPI-ESM-LR_2.6,2.6,Y
2030,1,1.509221077,MPI-ESM-LR_2.6,2.6,Y
2031,1,1.585068703,MPI-ESM-LR_2.6,2.6,Y
2032,1,1.018618584,MPI-ESM-LR_2.6,2.6,Y
2033,1,0.755544662,MPI-ESM-LR_2.6,2.6,Y
2034,1,0.4611063,MPI-ESM-LR_2.6,2.6,Y
2035,1,1.525426865,MPI-ESM-LR_2.6,2.6,Y
2036,1,0.656493187,MPI-ESM-LR_2.6,2.6,Y
2037,1,1.480135918,MPI-ESM-LR_2.6,2.6,Y
2038,1,2.533473015,MPI-ESM-LR_2.6,2.6,Y
2039,1,1.424681664,MPI-ESM-LR_2.6,2.6,Y
2040,1,0.449163437,MPI-ESM-LR_2.6,2.6,Y
2041,1,0.392146111,MPI-ESM-LR_2.6,2.6,Y
2042,1,0.570242882,MPI-ESM-LR_2.6,2.6,Y
2043,1,2.043426514,MPI-ESM-LR_2.6,2.6,Y
2044,1,3.565607071,MPI-ESM-LR_2.6,2.6,Y
2045,1,1.292780876,MPI-ESM-LR_2.6,2.6,Y
2046,1,2.545021057,MPI-ESM-LR_2.6,2.6,Y
2047,1,1.466663361,MPI-ESM-LR_2.6,2.6,Y
2048,1,0.622513771,MPI-ESM-LR_2.6,2.6,Y
2049,1,1.128325462,MPI-ESM-LR_2.6,2.6,Y
2050,1,0.771497726,MPI-ESM-LR_2.6,2.6,Y
2051,1,1.183962822,MPI-ESM-LR_2.6,2.6,Y
2052,1,2.307310104,MPI-ESM-LR_2.6,2.6,Y
2053,1,2.056656837,MPI-ESM-LR_2.6,2.6,Y
2054,1,0.954576492,MPI-ESM-LR_2.6,2.6,Y
2055,1,0.992098808,MPI-ESM-LR_2.6,2.6,Y
2056,1,1.474211693,MPI-ESM-LR_2.6,2.6,Y
2057,1,0.321047783,MPI-ESM-LR_2.6,2.6,Y
2058,1,-0.625555038,MPI-ESM-LR_2.6,2.6,Y
2059,1,0.140205383,MPI-ESM-LR_2.6,2.6,Y
2060,1,1.229841232,MPI-ESM-LR_2.6,2.6,Y
2061,1,2.043290138,MPI-ESM-LR_2.6,2.6,Y
2062,1,1.991785049,MPI-ESM-LR_2.6,2.6,Y
2063,1,3.329586983,MPI-ESM-LR_2.6,2.6,Y
2064,1,1.999196053,MPI-ESM-LR_2.6,2.6,Y
2065,1,1.4061203,MPI-ESM-LR_2.6,2.6,Y
2066,1,1.367308617,MPI-ESM-LR_2.6,2.6,Y
2067,1,4.36911869,MPI-ESM-LR_2.6,2.6,Y
2068,1,2.074669838,MPI-ESM-LR_2.6,2.6,Y
2069,1,0.728962898,MPI-ESM-LR_2.6,2.6,Y
2070,1,0.608913422,MPI-ESM-LR_2.6,2.6,Y
2071,1,0.828826904,MPI-ESM-LR_2.6,2.6,Y
2072,1,1.090138435,MPI-ESM-LR_2.6,2.6,Y
2073,1,1.23591423,MPI-ESM-LR_2.6,2.6,Y
2074,1,1.306079865,MPI-ESM-LR_2.6,2.6,Y
2075,1,1.195361137,MPI-ESM-LR_2.6,2.6,Y
2076,1,0.902536392,MPI-ESM-LR_2.6,2.6,Y
2077,1,1.648077965,MPI-ESM-LR_2.6,2.6,Y
2078,1,0.997493744,MPI-ESM-LR_2.6,2.6,Y
2079,1,1.438209534,MPI-ESM-LR_2.6,2.6,Y
2080,1,1.69652462,MPI-ESM-LR_2.6,2.6,Y
2081,1,1.692734718,MPI-ESM-LR_2.6,2.6,Y
2082,1,0.622704506,MPI-ESM-LR_2.6,2.6,Y
2083,1,0.955866814,MPI-ESM-LR_2.6,2.6,Y
2084,1,1.058022499,MPI-ESM-LR_2.6,2.6,Y
2085,1,1.896284103,MPI-ESM-LR_2.6,2.6,Y
2086,1,2.372076035,MPI-ESM-LR_2.6,2.6,Y
2087,1,1.359054565,MPI-ESM-LR_2.6,2.6,Y
2088,1,0.995393753,MPI-ESM-LR_2.6,2.6,Y
2089,1,0.895380974,MPI-ESM-LR_2.6,2.6,Y
2090,1,0.481829643,MPI-ESM-LR_2.6,2.6,Y
2091,1,2.33659935,MPI-ESM-LR_2.6,2.6,Y
2092,1,2.110283852,MPI-ESM-LR_2.6,2.6,Y
2093,1,0.330627441,MPI-ESM-LR_2.6,2.6,Y
2094,1,0.757478714,MPI-ESM-LR_2.6,2.6,Y
2095,1,1.097392082,MPI-ESM-LR_2.6,2.6,Y
2096,1,-0.208077431,MPI-ESM-LR_2.6,2.6,Y
2097,1,1.514740944,MPI-ESM-LR_2.6,2.6,Y
2098,1,1.542293549,MPI-ESM-LR_2.6,2.6,Y
2099,1,0.590466499,MPI-ESM-LR_2.6,2.6,Y
2022,1,0.718121529,MPI-ESM-MR_2.6,2.6,Y
2023,1,1.254187584,MPI-ESM-MR_2.6,2.6,Y
2024,1,0.748622894,MPI-ESM-MR_2.6,2.6,Y
2025,1,0.881073952,MPI-ESM-MR_2.6,2.6,Y
2026,1,0.737979889,MPI-ESM-MR_2.6,2.6,Y
2027,1,1.653887749,MPI-ESM-MR_2.6,2.6,Y
2028,1,0.374546051,MPI-ESM-MR_2.6,2.6,Y
2029,1,0.233496666,MPI-ESM-MR_2.6,2.6,Y
2030,1,0.484431267,MPI-ESM-MR_2.6,2.6,Y
2031,1,0.890847206,MPI-ESM-MR_2.6,2.6,Y
2032,1,0.777634621,MPI-ESM-MR_2.6,2.6,Y
2033,1,0.658133507,MPI-ESM-MR_2.6,2.6,Y
2034,1,0.431694984,MPI-ESM-MR_2.6,2.6,Y
2035,1,-0.090313911,MPI-ESM-MR_2.6,2.6,Y
2036,1,1.940544128,MPI-ESM-MR_2.6,2.6,Y
2037,1,1.239508629,MPI-ESM-MR_2.6,2.6,Y
2038,1,1.852984428,MPI-ESM-MR_2.6,2.6,Y
2039,1,2.104335785,MPI-ESM-MR_2.6,2.6,Y
2040,1,0.724059105,MPI-ESM-MR_2.6,2.6,Y
2041,1,0.357086182,MPI-ESM-MR_2.6,2.6,Y
2042,1,0.814509392,MPI-ESM-MR_2.6,2.6,Y
2043,1,3.261362076,MPI-ESM-MR_2.6,2.6,Y
2044,1,1.913622856,MPI-ESM-MR_2.6,2.6,Y
2045,1,2.75592041,MPI-ESM-MR_2.6,2.6,Y
2046,1,2.714417458,MPI-ESM-MR_2.6,2.6,Y
2047,1,1.493245125,MPI-ESM-MR_2.6,2.6,Y
2048,1,0.739478111,MPI-ESM-MR_2.6,2.6,Y
2049,1,1.55827713,MPI-ESM-MR_2.6,2.6,Y
2050,1,0.017162323,MPI-ESM-MR_2.6,2.6,Y
2051,1,0.946781158,MPI-ESM-MR_2.6,2.6,Y
2052,1,1.243816376,MPI-ESM-MR_2.6,2.6,Y
2053,1,0.87560463,MPI-ESM-MR_2.6,2.6,Y
2054,1,0.592699051,MPI-ESM-MR_2.6,2.6,Y
2055,1,1.451968193,MPI-ESM-MR_2.6,2.6,Y
2056,1,0.871117592,MPI-ESM-MR_2.6,2.6,Y
2057,1,1.223488808,MPI-ESM-MR_2.6,2.6,Y
2058,1,2.327480316,MPI-ESM-MR_2.6,2.6,Y
2059,1,1.648560524,MPI-ESM-MR_2.6,2.6,Y
2060,1,1.836507797,MPI-ESM-MR_2.6,2.6,Y
2061,1,1.570013046,MPI-ESM-MR_2.6,2.6,Y
2062,1,1.072241783,MPI-ESM-MR_2.6,2.6,Y
2063,1,0.853111267,MPI-ESM-MR_2.6,2.6,Y
2064,1,0.259800911,MPI-ESM-MR_2.6,2.6,Y
2065,1,1.942873955,MPI-ESM-MR_2.6,2.6,Y
2066,1,1.022802353,MPI-ESM-MR_2.6,2.6,Y
2067,1,0.275094986,MPI-ESM-MR_2.6,2.6,Y
2068,1,0.719103813,MPI-ESM-MR_2.6,2.6,Y
2069,1,0.897767067,MPI-ESM-MR_2.6,2.6,Y
2070,1,1.034358025,MPI-ESM-MR_2.6,2.6,Y
2071,1,1.02123642,MPI-ESM-MR_2.6,2.6,Y
2072,1,0.093791008,MPI-ESM-MR_2.6,2.6,Y
2073,1,-0.21476841,MPI-ESM-MR_2.6,2.6,Y
2074,1,1.619653702,MPI-ESM-MR_2.6,2.6,Y
2075,1,1.997268677,MPI-ESM-MR_2.6,2.6,Y
2076,1,2.559026718,MPI-ESM-MR_2.6,2.6,Y
2077,1,2.514472961,MPI-ESM-MR_2.6,2.6,Y
2078,1,2.657752991,MPI-ESM-MR_2.6,2.6,Y
2079,1,2.738166809,MPI-ESM-MR_2.6,2.6,Y
2080,1,2.221261978,MPI-ESM-MR_2.6,2.6,Y
2081,1,1.52102375,MPI-ESM-MR_2.6,2.6,Y
2082,1,1.852613449,MPI-ESM-MR_2.6,2.6,Y
2083,1,0.874644279,MPI-ESM-MR_2.6,2.6,Y
2084,1,2.474255562,MPI-ESM-MR_2.6,2.6,Y
2085,1,1.180244446,MPI-ESM-MR_2.6,2.6,Y
2086,1,1.21632576,MPI-ESM-MR_2.6,2.6,Y
2087,1,1.834374428,MPI-ESM-MR_2.6,2.6,Y
2088,1,2.897372246,MPI-ESM-MR_2.6,2.6,Y
2089,1,1.789196014,MPI-ESM-MR_2.6,2.6,Y
2090,1,2.19265461,MPI-ESM-MR_2.6,2.6,Y
2091,1,1.650748253,MPI-ESM-MR_2.6,2.6,Y
2092,1,0.84493351,MPI-ESM-MR_2.6,2.6,Y
2093,1,2.532361031,MPI-ESM-MR_2.6,2.6,Y
2094,1,1.89564991,MPI-ESM-MR_2.6,2.6,Y
2095,1,1.095378876,MPI-ESM-MR_2.6,2.6,Y
2096,1,0.928635597,MPI-ESM-MR_2.6,2.6,Y
2097,1,0.213658333,MPI-ESM-MR_2.6,2.6,Y
2098,1,1.283244133,MPI-ESM-MR_2.6,2.6,Y
2099,1,1.105710983,MPI-ESM-MR_2.6,2.6,Y
2022,1,-0.20584774,CESM1-CAM5_4.5,4.5,N
2023,1,-1.048822403,CESM1-CAM5_4.5,4.5,N
2024,1,0.833949089,CESM1-CAM5_4.5,4.5,N
2025,1,0.779395103,CESM1-CAM5_4.5,4.5,N
2026,1,-0.848217964,CESM1-CAM5_4.5,4.5,N
2027,1,-0.305419922,CESM1-CAM5_4.5,4.5,N
2028,1,0.093221664,CESM1-CAM5_4.5,4.5,N
2029,1,1.01175499,CESM1-CAM5_4.5,4.5,N
2030,1,0.641328812,CESM1-CAM5_4.5,4.5,N
2031,1,0.794247627,CESM1-CAM5_4.5,4.5,N
2032,1,0.500835419,CESM1-CAM5_4.5,4.5,N
2033,1,1.423212051,CESM1-CAM5_4.5,4.5,N
2034,1,0.938332558,CESM1-CAM5_4.5,4.5,N
2035,1,0.822917938,CESM1-CAM5_4.5,4.5,N
2036,1,0.471209526,CESM1-CAM5_4.5,4.5,N
2037,1,1.008400917,CESM1-CAM5_4.5,4.5,N
2038,1,1.606941223,CESM1-CAM5_4.5,4.5,N
2039,1,0.189315796,CESM1-CAM5_4.5,4.5,N
2040,1,1.604998589,CESM1-CAM5_4.5,4.5,N
2041,1,0.343885422,CESM1-CAM5_4.5,4.5,N
2042,1,-0.833382607,CESM1-CAM5_4.5,4.5,N
2043,1,0.494727135,CESM1-CAM5_4.5,4.5,N
2044,1,1.423786163,CESM1-CAM5_4.5,4.5,N
2045,1,0.245518684,CESM1-CAM5_4.5,4.5,N
2046,1,0.888494492,CESM1-CAM5_4.5,4.5,N
2047,1,0.257399559,CESM1-CAM5_4.5,4.5,N
2048,1,0.289747238,CESM1-CAM5_4.5,4.5,N
2049,1,0.111028671,CESM1-CAM5_4.5,4.5,N
2050,1,2.484740257,CESM1-CAM5_4.5,4.5,N
2051,1,1.752749443,CESM1-CAM5_4.5,4.5,N
2052,1,1.647558212,CESM1-CAM5_4.5,4.5,N
2053,1,1.201855659,CESM1-CAM5_4.5,4.5,N
2054,1,3.189334869,CESM1-CAM5_4.5,4.5,N
2055,1,2.55010128,CESM1-CAM5_4.5,4.5,N
